class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.4,0.18181818181818182,0.25,22,0.023206751054852322
overgeneralization,0.2222222222222222,0.2962962962962963,0.25396825396825395,27,0.028933092224231464
mental_filter,0.26666666666666666,0.25,0.25806451612903225,16,0.017422077038246903
should_statements,0.5,0.52,0.5098039215686274,25,0.053776784975593614
all_or_nothing,0.23529411764705882,0.4,0.2962962962962963,20,0.025003906860446942
mind_reading,0.3877551020408163,0.59375,0.4691358024691358,32,0.06334323071313225
fortune_telling,0.3333333333333333,0.64,0.4383561643835616,25,0.0462401017282238
magnification,0.1111111111111111,0.15789473684210525,0.13043478260869565,19,0.010456796917996699
personalization,0.3333333333333333,0.1875,0.24,16,0.016202531645569618
labeling,0.40540540540540543,0.42857142857142855,0.4166666666666667,35,0.061533052039381156
