class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2631578947368421,0.22727272727272727,0.24390243902439024,22,0.02264073273644129
overgeneralization,0.08,0.07407407407407407,0.07692307692307693,27,0.008763388510223954
mental_filter,0.16666666666666666,0.3125,0.21739130434782608,16,0.014676206200697118
should_statements,0.4642857142857143,0.52,0.49056603773584906,25,0.05174747233500518
all_or_nothing,0.14705882352941177,0.25,0.18518518518518517,20,0.01562744178777934
mind_reading,0.19642857142857142,0.34375,0.25,32,0.03375527426160337
fortune_telling,0.475,0.76,0.5846153846153846,25,0.061668289516390785
magnification,0.14285714285714285,0.05263157894736842,0.07692307692307693,19,0.006166828951639079
personalization,0.16666666666666666,0.0625,0.09090909090909091,16,0.006137322593018795
labeling,0.15384615384615385,0.22857142857142856,0.1839080459770115,35,0.02715941607255444
