class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.21621621621621623,0.47058823529411764,0.2962962962962963,17,0.024691358024691357
overgeneralization,0.18181818181818182,0.14285714285714285,0.16,28,0.021960784313725494
mental_filter,0.15789473684210525,0.2,0.17647058823529413,15,0.012975778546712804
should_statements,0.16129032258064516,0.38461538461538464,0.22727272727272727,13,0.014483065953654187
all_or_nothing,0.14285714285714285,0.07692307692307693,0.1,13,0.006372549019607843
mind_reading,0.3488372093023256,0.4838709677419355,0.40540540540540543,31,0.06160572337042925
fortune_telling,0.3793103448275862,0.5238095238095238,0.44,21,0.045294117647058825
magnification,0.23529411764705882,0.32,0.2711864406779661,25,0.03323363243602526
personalization,0.15789473684210525,0.15,0.15384615384615385,20,0.015082956259426848
labeling,0.4166666666666667,0.23809523809523808,0.30303030303030304,21,0.031194295900178252
