class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.08333333333333333,0.058823529411764705,0.06896551724137931,17,0.005747126436781609
overgeneralization,0.16279069767441862,0.75,0.267515923566879,28,0.036717871862120645
mental_filter,0.07407407407407407,0.13333333333333333,0.09523809523809523,15,0.0070028011204481795
should_statements,0.2727272727272727,0.23076923076923078,0.25,13,0.015931372549019607
all_or_nothing,0.3333333333333333,0.15384615384615385,0.21052631578947367,13,0.013415892672858615
mind_reading,0.3125,0.3225806451612903,0.31746031746031744,31,0.04824151882975412
fortune_telling,0.24,0.2857142857142857,0.2608695652173913,21,0.026854219948849102
magnification,0.10714285714285714,0.12,0.11320754716981132,25,0.013873473917869035
personalization,0.0,0.0,0.0,20,0.0
labeling,0.2708333333333333,0.6190476190476191,0.37681159420289856,21,0.03878942881500426
