split,label,positives,prevalence_pct
train,emotional_reasoning,135,6.67
train,overgeneralization,222,10.97
train,mental_filter,121,5.98
train,should_statements,108,5.34
train,all_or_nothing,101,4.99
train,mind_reading,232,11.46
train,fortune_telling,168,8.3
train,magnification,196,9.68
train,personalization,162,8.0
train,labeling,162,8.0
val,emotional_reasoning,17,6.72
val,overgeneralization,27,10.67
val,mental_filter,15,5.93
val,should_statements,14,5.53
val,all_or_nothing,12,4.74
val,mind_reading,32,12.65
val,fortune_telling,21,8.3
val,magnification,24,9.49
val,personalization,20,7.91
val,labeling,20,7.91
test,emotional_reasoning,17,6.72
test,overgeneralization,28,11.07
test,mental_filter,15,5.93
test,should_statements,13,5.14
test,all_or_nothing,13,5.14
test,mind_reading,31,12.25
test,fortune_telling,21,8.3
test,magnification,25,9.88
test,personalization,20,7.91
test,labeling,21,8.3
