class,precision,recall,f1,support,weighted_contribution
no_distortion,0.8082191780821918,0.686046511627907,0.7421383647798742,86,0.2522683769607477
emotional_reasoning,0.15789473684210525,1.0,0.2727272727272727,3,0.0032339202299676603
overgeneralization,0.38461538461538464,0.5555555555555556,0.45454545454545453,18,0.03233920229967661
mental_filter,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,0.01054018445322793
should_statements,0.0,0.0,0.0,1,0.0
all_or_nothing,0.0,0.0,0.0,1,0.0
mind_reading,0.7288135593220338,0.7166666666666667,0.7226890756302521,60,0.17138871358820207
fortune_telling,0.42857142857142855,0.375,0.4,16,0.025296442687747035
magnification,0.65,0.5306122448979592,0.5842696629213483,49,0.11315894657369986
personalization,0.0,0.0,0.0,4,0.0
labeling,0.6,0.3333333333333333,0.42857142857142855,9,0.015245623941276116
