class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.24324324324324326,0.5294117647058824,0.3333333333333333,17,0.027777777777777776
overgeneralization,0.29411764705882354,0.35714285714285715,0.3225806451612903,28,0.04427577482605946
mental_filter,0.2,0.3333333333333333,0.25,15,0.01838235294117647
should_statements,0.17647058823529413,0.23076923076923078,0.2,13,0.012745098039215686
all_or_nothing,0.2727272727272727,0.23076923076923078,0.25,13,0.015931372549019607
mind_reading,0.3157894736842105,0.5806451612903226,0.4090909090909091,31,0.06216577540106952
fortune_telling,0.1875,0.2857142857142857,0.22641509433962265,21,0.023307436182019976
magnification,0.20512820512820512,0.32,0.25,25,0.030637254901960783
personalization,0.21428571428571427,0.3,0.25,20,0.024509803921568627
labeling,0.2894736842105263,0.5238095238095238,0.3728813559322034,21,0.03838484546360917
