class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.3125,0.29411764705882354,0.30303030303030304,17,0.025252525252525252
overgeneralization,0.1956521739130435,0.32142857142857145,0.24324324324324326,28,0.03338632750397457
mental_filter,0.2727272727272727,0.4,0.32432432432432434,15,0.02384737678855326
should_statements,0.2,0.38461538461538464,0.2631578947368421,13,0.01676986584107327
all_or_nothing,0.42857142857142855,0.23076923076923078,0.3,13,0.019117647058823527
mind_reading,0.36363636363636365,0.12903225806451613,0.19047619047619047,31,0.02894491129785247
fortune_telling,0.2222222222222222,0.19047619047619047,0.20512820512820512,21,0.021116138763197585
magnification,0.1076923076923077,0.28,0.15555555555555556,25,0.01906318082788671
personalization,0.12,0.15,0.13333333333333333,20,0.013071895424836602
labeling,0.14634146341463414,0.2857142857142857,0.1935483870967742,21,0.019924098671726755
