class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.32432432432432434,0.7058823529411765,0.4444444444444444,17,0.037037037037037035
overgeneralization,0.16666666666666666,0.2857142857142857,0.21052631578947367,28,0.02889576883384933
mental_filter,0.06666666666666667,0.06666666666666667,0.06666666666666667,15,0.004901960784313725
should_statements,0.20588235294117646,0.5384615384615384,0.2978723404255319,13,0.018982060909470168
all_or_nothing,0.17391304347826086,0.3076923076923077,0.2222222222222222,13,0.014161220043572982
mind_reading,0.4418604651162791,0.6129032258064516,0.5135135135135135,31,0.07803391626921037
fortune_telling,0.3103448275862069,0.42857142857142855,0.36,21,0.03705882352941176
magnification,0.23333333333333334,0.28,0.2545454545454545,25,0.03119429590017825
personalization,0.23684210526315788,0.45,0.3103448275862069,20,0.030425963488843813
labeling,0.3684210526315789,0.3333333333333333,0.35,21,0.03602941176470588
