class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.15384615384615385,0.11764705882352941,0.13333333333333333,17,0.01111111111111111
overgeneralization,0.12244897959183673,0.42857142857142855,0.19047619047619047,28,0.026143790849673203
mental_filter,0.20689655172413793,0.4,0.2727272727272727,15,0.020053475935828877
should_statements,0.13157894736842105,0.38461538461538464,0.19607843137254902,13,0.01249519415609381
all_or_nothing,0.1,0.07692307692307693,0.08695652173913043,13,0.005541346973572037
mind_reading,0.375,0.1935483870967742,0.2553191489361702,31,0.03879849812265331
fortune_telling,0.21428571428571427,0.14285714285714285,0.17142857142857143,21,0.01764705882352941
magnification,0.1590909090909091,0.28,0.2028985507246377,25,0.024865018471156578
personalization,0.1935483870967742,0.3,0.23529411764705882,20,0.02306805074971165
labeling,0.23076923076923078,0.14285714285714285,0.17647058823529413,21,0.018166089965397925
