class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.25806451612903225,0.5,0.3404255319148936,16,0.02127659574468085
overgeneralization,0.45,0.391304347826087,0.4186046511627907,23,0.03760901162790698
mental_filter,0.5,0.35714285714285715,0.4166666666666667,14,0.022786458333333336
should_statements,0.0,0.0,0.0,3,0.0
all_or_nothing,0.2857142857142857,0.6666666666666666,0.4,3,0.004687500000000001
mind_reading,0.7647058823529411,0.7647058823529411,0.7647058823529411,68,0.203125
fortune_telling,0.7307692307692307,0.5135135135135135,0.6031746031746031,37,0.08717757936507936
magnification,0.7230769230769231,0.7580645161290323,0.7401574803149606,62,0.17925688976377954
personalization,0.42857142857142855,0.35294117647058826,0.3870967741935484,17,0.02570564516129032
labeling,0.375,0.46153846153846156,0.41379310344827586,13,0.02101293103448276
