class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2222222222222222,0.5882352941176471,0.3225806451612903,17,0.026881720430107524
overgeneralization,0.22413793103448276,0.4642857142857143,0.3023255813953488,28,0.04149566803465572
mental_filter,0.14285714285714285,0.26666666666666666,0.18604651162790697,15,0.013679890560875513
should_statements,0.14285714285714285,0.15384615384615385,0.14814814814814814,13,0.009440813362381988
all_or_nothing,0.5,0.15384615384615385,0.23529411764705882,13,0.014994232987312572
mind_reading,0.38461538461538464,0.3225806451612903,0.3508771929824561,31,0.05331957344341245
fortune_telling,0.391304347826087,0.42857142857142855,0.4090909090909091,21,0.042112299465240643
magnification,0.16666666666666666,0.32,0.2191780821917808,25,0.02686005909213
personalization,0.2727272727272727,0.3,0.2857142857142857,20,0.028011204481792715
labeling,0.25,0.42857142857142855,0.3157894736842105,21,0.03250773993808049
