class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.37142857142857144,0.5909090909090909,0.45614035087719296,22,0.04234214227552002
overgeneralization,0.19642857142857142,0.4074074074074074,0.26506024096385544,27,0.03019673631233796
mental_filter,0.1,0.0625,0.07692307692307693,16,0.00519311911716975
should_statements,0.5277777777777778,0.76,0.6229508196721312,25,0.06571211177976068
all_or_nothing,0.2857142857142857,0.2,0.23529411764705882,20,0.0198560436832961
mind_reading,0.30952380952380953,0.40625,0.35135135135135137,32,0.04743984490819934
fortune_telling,0.5925925925925926,0.64,0.6153846153846154,25,0.06491398896462187
magnification,0.15384615384615385,0.10526315789473684,0.125,19,0.010021097046413503
personalization,0.3333333333333333,0.0625,0.10526315789473684,16,0.007106373528758605
labeling,0.36065573770491804,0.6285714285714286,0.4583333333333333,35,0.06768635724331927
