class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.36666666666666664,0.6470588235294118,0.46808510638297873,17,0.03900709219858156
overgeneralization,0.26,0.4642857142857143,0.3333333333333333,28,0.04575163398692811
mental_filter,0.12,0.2,0.15,15,0.011029411764705883
should_statements,0.25,0.38461538461538464,0.30303030303030304,13,0.019310754604872252
all_or_nothing,0.25,0.07692307692307693,0.11764705882352941,13,0.007497116493656286
mind_reading,0.425,0.5483870967741935,0.4788732394366197,31,0.07276995305164319
fortune_telling,0.26666666666666666,0.38095238095238093,0.3137254901960784,21,0.03229527104959631
magnification,0.18518518518518517,0.4,0.25316455696202533,25,0.03102506825515016
personalization,0.2413793103448276,0.35,0.2857142857142857,20,0.028011204481792715
labeling,0.2608695652173913,0.2857142857142857,0.2727272727272727,21,0.028074866310160426
