model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
mental/mental-roberta-base,multilabel,42.0,val,10,0.2721653636853215,0.2711491149197296,,0.2774327122153209,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,42.0,test,10,0.2299876369834734,0.2235097464788935,,0.2318840579710145,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,1337.0,val,10,0.2854655949271774,0.2711137776583761,,0.277056277056277,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,1337.0,test,10,0.2647511944562649,0.2713265497438758,,0.2614107883817427,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,2024.0,val,10,0.2870558557399369,0.2745212735123802,,0.2769857433808554,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,2024.0,test,10,0.2199148286517763,0.2166825281174148,,0.22265625,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,"results_multilabel_flat (flat, CLEAN)"
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,"results_multilabel_flat (flat, CLEAN)"
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,42.0,val,2,0.7645569187071164,0.7510822510822511,,0.7628458498023716,0.8051948051948052,,,0.2292,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,42.0,val,10,0.2791140242725545,0.2731505621102094,,0.2723577235772357,,,,0.3533,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,42.0,test,2,0.7245234358843351,0.7037668941522816,,0.7233201581027668,0.779874213836478,,,0.249,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,42.0,test,10,0.2550729584134285,0.2475838412747473,,0.2524271844660194,,,,0.3439,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,1337.0,val,2,0.7716448350693084,0.7575667459688078,,0.7707509881422925,0.8141025641025641,,,0.2292,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,1337.0,val,10,0.2434319978584979,0.2243647944336872,,0.2559055118110236,,,,0.3442,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,1337.0,test,2,0.7470355731225297,0.7267080745341614,,0.7470355731225297,0.8012422360248447,,,0.249,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,1337.0,test,10,0.2366500955379609,0.2259837964344219,,0.2495201535508637,,,,0.3354,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,2024.0,val,2,0.7757809085923165,0.7622062824635172,,0.7747035573122529,0.8167202572347267,,,0.2292,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,2024.0,val,10,0.2616274043055868,0.2530926882941577,,0.2629482071713147,,,,0.3333,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],binary,2024.0,test,2,0.7421396283274737,0.7204419889502762,,0.7430830039525692,0.8,,,0.249,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],multilabel,2024.0,test,10,0.2504765588249514,0.2469066592886004,,0.2490566037735849,,,,0.3354,empowerlens,,results_cascade (composed)
mental/mental-roberta-base,multiclass,42.0,val,11,0.3459833148381019,0.2387445444321205,0.2045184402161146,0.3478260869565217,,0.5810055865921788,0.2181641530682094,0.2292,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,42.0,test,11,0.2908219869002019,0.1730090320092085,0.1324786099089246,0.2885375494071146,,0.5783132530120482,0.2102957283680175,0.249,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,1337.0,val,11,0.3525692212350177,0.249961483176689,0.2157860338612218,0.3359683794466403,,0.591715976331361,0.2221858409149379,0.2292,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,1337.0,test,11,0.2742681505487323,0.1477657236900471,0.1048735844026101,0.2687747035573122,,0.5766871165644172,0.2097044060234244,0.249,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,2024.0,val,11,0.3008919352162323,0.1986691249005441,0.1655559049402674,0.2845849802371542,,0.5298013245033113,0.1989372562364212,0.2292,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,2024.0,test,11,0.2892569860441519,0.1823095695469896,0.1491516376127997,0.2806324110671936,,0.5138888888888888,0.1868686868686868,0.249,empowerlens,,results_multiclass_v2 (fixed)
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,results_multiclass_v2 (fixed)
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,results_multiclass_v2 (fixed)
