class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2826086956521739,0.5909090909090909,0.38235294117647056,22,0.03549267808389178
overgeneralization,0.07692307692307693,0.07407407407407407,0.07547169811320754,27,0.008598041557200859
mental_filter,0.15384615384615385,0.25,0.19047619047619047,16,0.012859152099658428
should_statements,0.5555555555555556,0.4,0.46511627906976744,25,0.04906289863605142
all_or_nothing,0.16666666666666666,0.15,0.15789473684210525,20,0.013324450366422384
mind_reading,0.12121212121212122,0.125,0.12307692307692308,32,0.0166179811749432
fortune_telling,0.52,0.52,0.52,25,0.05485232067510549
magnification,0.1111111111111111,0.21052631578947367,0.14545454545454545,19,0.011660912926735711
personalization,0.16666666666666666,0.0625,0.09090909090909091,16,0.006137322593018795
labeling,0.1891891891891892,0.4,0.25688073394495414,35,0.03793597336739829
