class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.14583333333333334,0.4117647058823529,0.2153846153846154,17,0.017948717948717947
overgeneralization,0.16666666666666666,0.14285714285714285,0.15384615384615385,28,0.021116138763197588
mental_filter,0.03125,0.06666666666666667,0.0425531914893617,15,0.0031289111389236545
should_statements,0.21428571428571427,0.23076923076923078,0.2222222222222222,13,0.014161220043572982
all_or_nothing,0.09523809523809523,0.15384615384615385,0.11764705882352941,13,0.007497116493656286
mind_reading,0.375,0.2903225806451613,0.32727272727272727,31,0.04973262032085561
fortune_telling,0.3333333333333333,0.38095238095238093,0.35555555555555557,21,0.036601307189542485
magnification,0.1864406779661017,0.44,0.2619047619047619,25,0.03209617180205415
personalization,0.2413793103448276,0.35,0.2857142857142857,20,0.028011204481792715
labeling,0.42857142857142855,0.14285714285714285,0.21428571428571427,21,0.022058823529411763
