class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2571428571428571,0.391304347826087,0.3103448275862069,23,0.029865820227961335
overgeneralization,0.2702702702702703,0.38461538461538464,0.31746031746031744,26,0.03453543202497177
mental_filter,0.21875,0.3333333333333333,0.2641509433962264,21,0.02320991552853872
should_statements,0.39285714285714285,0.4782608695652174,0.43137254901960786,23,0.04151283944540159
all_or_nothing,0.11764705882352941,0.36363636363636365,0.17777777777777778,11,0.008182240818224083
mind_reading,0.2903225806451613,0.2727272727272727,0.28125,33,0.0388336820083682
fortune_telling,0.37142857142857144,0.52,0.43333333333333335,25,0.045327754532775454
magnification,0.06666666666666667,0.07692307692307693,0.07142857142857142,26,0.007770472205618649
personalization,0.23529411764705882,0.42105263157894735,0.3018867924528302,19,0.023999368437672693
labeling,0.4642857142857143,0.40625,0.43333333333333335,32,0.058019525801952576
