class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2647058823529412,0.5294117647058824,0.35294117647058826,17,0.029411764705882353
overgeneralization,0.16216216216216217,0.21428571428571427,0.18461538461538463,28,0.025339366515837108
mental_filter,0.24242424242424243,0.5333333333333333,0.3333333333333333,15,0.024509803921568627
should_statements,0.125,0.23076923076923078,0.16216216216216217,13,0.010333863275039745
all_or_nothing,0.16666666666666666,0.15384615384615385,0.16,13,0.010196078431372548
mind_reading,0.45454545454545453,0.16129032258064516,0.23809523809523808,31,0.03618113912231559
fortune_telling,0.2,0.3333333333333333,0.25,21,0.025735294117647058
magnification,0.12195121951219512,0.2,0.15151515151515152,25,0.018568033273915627
personalization,0.06666666666666667,0.15,0.09230769230769231,20,0.00904977375565611
labeling,0.2857142857142857,0.09523809523809523,0.14285714285714285,21,0.014705882352941175
