class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.30434782608695654,0.4117647058823529,0.35,17,0.029166666666666664
overgeneralization,0.13636363636363635,0.10714285714285714,0.12,28,0.01647058823529412
mental_filter,0.175,0.4666666666666667,0.2545454545454545,15,0.01871657754010695
should_statements,0.26666666666666666,0.3076923076923077,0.2857142857142857,13,0.018207282913165264
all_or_nothing,0.1,0.07692307692307693,0.08695652173913043,13,0.005541346973572037
mind_reading,0.36585365853658536,0.4838709677419355,0.4166666666666667,31,0.06331699346405228
fortune_telling,0.3548387096774194,0.5238095238095238,0.4230769230769231,21,0.04355203619909502
magnification,0.2,0.28,0.23333333333333334,25,0.028594771241830064
personalization,0.19047619047619047,0.2,0.1951219512195122,20,0.01912960306073649
labeling,0.35714285714285715,0.23809523809523808,0.2857142857142857,21,0.02941176470588235
