text,binary_label,distortion_type
"Okay, so recently I started getting therapy for a few issues in my life and I have this therapist. Obviously, it’s their job to listen and what not, but it’s such a new thing for me to have someone listen and understand!! I have normal relationships and what not, but I don’t talk about what’s going on in my life. And well, like I said, this therapist, he listens!! And I don’t know how it started, but now I’m attracted to him and think about him all the time. Yikes! And I had therapy the other day and I was feeling a bit awkward sometimes because in my head I was thinking about him sexually!! And he was right there in front of me. Not good but so good at the same time! But yeah nothing will happen anyway because 1. he’s my therapist and that goes against code and 2. he’s married anyway. But it doesn’t stop me from thinking about him that way. I don’t know if I have control over my actions but don’t want to lose him as a therapist! And if I ask him for help about it, I guess I probably will. I can’t ask anyway… too awkward. And I don’t want to start again with a new therapist. So please give me some ideas! Oh, and if this helps in anyway, I have bipolar…. but I guess I’m not the first person in the world to be attracted to my therapist so maybe it doesn’t! (18 year old female who recently started therapy)",Distorted,Fortune Telling
"Since I believe that flat earth is biblical and I’ve always believed this from childhood, is that considered a delusion? I know this to be truth and there isn’t anything that will change my mind.",Distorted,Emotional Reasoning
"I’m obese but told that I’m not. My moods change based on how people treat or what they say to me. I get annoyed easily. I’m empathetic but act like I don’t know anything. Everything I try to succeed in I fail because I’m not good enough. I waste so much money on beauty supplies but fight the knowledge that it’s just society. I pick zits to the extent of scarring because I can’t stand anything raised on my skin. I’m an INFJ and Pisces. I watch how people judge me and it makes me regret being unique (I try to be different but within reason to what I like in general.) I often wonder why I don’t fit into this world and if there’s another but know deep inside there probably isn’t and I’m wasting time acting like this but can’t help but think of all the wonders. I always have hope for the best but never find it. All of my friends just stop talking to me and always place me on the back burner because they know I’m always there when they need me. I feel overwhelmed with life. Depression medication always makes me gain massive weight (20lbs in a month) so I don’t take them and anxiety meds won’t be prescribed because of the drug issues within our community to someone who looks like I do (tattoo’s in a rural area.) I feel like I’m supposed to do something great but I don’t know what that is and feel like I won’t know until it’s too late. I must have everything clean and in its spot at all times or I get super frustrated and lose my temper. I focus so much that I lose the concept of anything. I have around 10 major crying fits a year as said from my husband. I don’t feel attractive after having our children in 2012, 2013. I don’t feel successful, everything that is mine has gone to shit and I’ve lost a sense of self. I’m confused by the world and would like to stay tucked away in a forest with a huge fence around the area. Doctors act like they know right what it is “depression” or have no idea but would like me to ‘try’ said medication to see if it helps and it never does. What is wrong with me?!!!!",Distorted,Magnification
"Hi there! I am a cutter. I think I like it too much. What I like about it, is every time I cut and the blood rushes from my arms or legs, I start feeling light headed and cold. That drowsy feeling is what I yearn for. The warm blood running down my cold body(stress running out of me).That is what is feels like. After that you realize I are still breathing and I focus on that and then get this rush of energy. I don’t know if it is adrenaline or what, but it feels really good.",Distorted,Mind Reading
"I’m a 35-year-old mom of 2. I grew up with a narcissistic mother & absent father. In my childhood I had to deal with emotional neglect, physical & sexual abuse, and I was bullied in elementary school. With that said, I had a lot of (cognitive) therapy as an adult and I (thought) I was doing ok.",Non-Distorted,No Distortion
"I think I need to speak to a councilor, as I am a 20 year old woman who has compulsively lied to nearly everyone I’ve ever met, throughout my entire life. I went to university and I started to cross lines with my lies, that I once told myself were harmless, they were far from harmless now. I recently got engaged to the man of my dreams and have had to confess everything I’ve ever done and I’m too weak and to deal with the heartbreak I’ve caused him! I need help, I don’t know why I do this and nothing awful has ever happened to me so I don’t have some deep dark reason for it all, I’m just broken. I have boundaries on the people I lie to and I don’t understand those either, but I know they are there. Uni life is becoming more and more complicated and I have no idea what I’m doing anymore!",Distorted,Labeling
"From Antigua: Hey, at a point I started to feel that I was loosing it. I have BPD and it is ruining my relationship with the people I love. It already ruined my relationship with my boyfriend and there is nothing I can do to fix it. Right now I just want to focus and practice loving me and accepting who I am.",Distorted,Fortune Telling
"Hi, Thanks for taking the time to read and hopefully answer my question. I’m a freshman in high school and lately I literally have to be forced to get up and go. I am not bullied, and I have a good social life but I feel extremely stressed out. Due to my lack of attendance I have fallen really far behind. When I get home, I am so mentally exhausted that I don’t even want to touch my homework. I have a hard time focusing in school, and I get so anxious and upset when I think about going.",Distorted,Fortune Telling
"From Alaska: I am an 18 year old guy who’s been dealing with a lot of anxiety. Following a recent move, I’ve begun to hear voices, sometimes in my head. Those ones tend to say very bad things about me. Sometimes outside of my head, which usually sounds like large crowds or whispers. These voices distract me all the time to the point where I have a hard time understanding what people are saying, or what I am reading. The part that bothers me the most, however, is the fact that I am unsure if I am just making these things up in my head to somehow punish myself. I cannot make them stop though, and the conflicting ideas of “I’m making this up” and “I can’t make them stop” causes me a lot of trouble and confusion.",Non-Distorted,No Distortion
"Hello! For the past few months everything was going fine in my two year relationship with my boyfriend. He’s my best friend, boyfriend, and lover, and we’ve been very much in love. Everything was normal, he works, I go to school, we go on dates etc. He is the sweetest most loving, caring, responsible, logical and ‘together’ person any of us know.",Distorted,Emotional Reasoning
