class,precision,recall,f1,support,weighted_contribution
no_distortion,0.0,0.0,0.0,92,0.0
emotional_reasoning,0.0,0.0,0.0,12,0.0
overgeneralization,0.13725490196078433,0.2692307692307692,0.18181818181818182,26,0.018684872439813153
mental_filter,0.0,0.0,0.0,13,0.0
should_statements,0.25,0.18181818181818182,0.21052631578947367,11,0.009153318077803204
all_or_nothing,0.0,0.0,0.0,11,0.0
mind_reading,0.225,0.32142857142857145,0.2647058823529412,28,0.029295512671471752
fortune_telling,0.17647058823529413,0.23076923076923078,0.2,13,0.010276679841897235
magnification,0.07575757575757576,0.2777777777777778,0.11904761904761904,18,0.00846979107848673
personalization,0.125,0.15384615384615385,0.13793103448275862,13,0.007087365408204989
labeling,0.13636363636363635,0.1875,0.15789473684210525,16,0.00998543790305804
