class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.18604651162790697,0.47058823529411764,0.26666666666666666,17,0.02222222222222222
overgeneralization,0.18181818181818182,0.21428571428571427,0.19672131147540983,28,0.027000964320154294
mental_filter,0.12,0.2,0.15,15,0.011029411764705883
should_statements,0.23529411764705882,0.3076923076923077,0.26666666666666666,13,0.01699346405228758
all_or_nothing,0.07407407407407407,0.15384615384615385,0.1,13,0.006372549019607843
mind_reading,0.27419354838709675,0.5483870967741935,0.3655913978494624,31,0.05555555555555555
fortune_telling,0.3142857142857143,0.5238095238095238,0.39285714285714285,21,0.04044117647058823
magnification,0.10204081632653061,0.2,0.13513513513513514,25,0.016560678325384208
personalization,0.15789473684210525,0.15,0.15384615384615385,20,0.015082956259426848
labeling,0.22727272727272727,0.23809523809523808,0.23255813953488372,21,0.023939808481532147
