class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.14,0.4117647058823529,0.208955223880597,17,0.01741293532338308
overgeneralization,0.12903225806451613,0.14285714285714285,0.13559322033898305,28,0.018610834164174146
mental_filter,0.1111111111111111,0.13333333333333333,0.12121212121212122,15,0.008912655971479501
should_statements,0.23076923076923078,0.46153846153846156,0.3076923076923077,13,0.0196078431372549
all_or_nothing,0.1111111111111111,0.38461538461538464,0.1724137931034483,13,0.010987153482082488
mind_reading,0.36585365853658536,0.4838709677419355,0.4166666666666667,31,0.06331699346405228
fortune_telling,0.2857142857142857,0.2857142857142857,0.2857142857142857,21,0.02941176470588235
magnification,0.125,0.2,0.15384615384615385,25,0.01885369532428356
personalization,0.21212121212121213,0.35,0.2641509433962264,20,0.02589715131335553
labeling,0.3125,0.23809523809523808,0.2702702702702703,21,0.02782193958664547
