class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.07317073170731707,0.17647058823529413,0.10344827586206896,17,0.008620689655172414
overgeneralization,0.18055555555555555,0.4642857142857143,0.26,28,0.035686274509803925
mental_filter,0.0851063829787234,0.26666666666666666,0.12903225806451613,15,0.009487666034155597
should_statements,0.3333333333333333,0.46153846153846156,0.3870967741935484,13,0.024667931688804552
all_or_nothing,0.0,0.0,0.0,13,0.0
mind_reading,0.32608695652173914,0.4838709677419355,0.38961038961038963,31,0.05920550038197097
fortune_telling,0.3684210526315789,0.3333333333333333,0.35,21,0.03602941176470588
magnification,0.22448979591836735,0.44,0.2972972972972973,25,0.03643349231584526
personalization,0.1111111111111111,0.05,0.06896551724137931,20,0.0067613252197430695
labeling,0.0,0.0,0.0,21,0.0
