model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
mental/mental-roberta-base,multilabel,42.0,val,10,0.2721653636853215,0.2711491149197296,,0.2774327122153209,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,42.0,test,10,0.2299876369834734,0.2235097464788935,,0.2318840579710145,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,1337.0,val,10,0.2854655949271774,0.2711137776583761,,0.277056277056277,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,1337.0,test,10,0.2647511944562649,0.2713265497438758,,0.2614107883817427,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,2024.0,val,10,0.2870558557399369,0.2745212735123802,,0.2769857433808554,,,,0.2292,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
mental/mental-roberta-base,multilabel,2024.0,test,10,0.2199148286517763,0.2166825281174148,,0.22265625,,,,0.249,empowerlens,,"results_multilabel_flat (flat, CLEAN)"
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,"results_multilabel_flat (flat, CLEAN)"
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,"results_multilabel_flat (flat, CLEAN)"
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,42.0,val,2,0.7405996954605687,0.7397870136173152,,0.7408536585365854,0.7564469914040115,,,0.2165,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,42.0,val,10,0.3311649353715402,0.3089020311822697,,0.32,,,,0.2881,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,42.0,test,2,0.7317073170731707,0.7284359476140299,,0.7317073170731707,0.7582417582417582,,,0.189,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,42.0,test,10,0.2630396493197124,0.2581374688453194,,0.2647058823529412,,,,0.2857,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,1337.0,val,2,0.7306510862716515,0.7294439653556297,,0.7317073170731707,0.7541899441340782,,,0.2165,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,1337.0,val,10,0.3185658745823718,0.299675810333088,,0.2915254237288135,,,,0.2527,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,1337.0,test,2,0.691965904406961,0.6881043167160947,,0.6920731707317073,0.7232876712328767,,,0.189,empowerlens,,results_cascade (composed)
