class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.375,0.13636363636363635,0.2,22,0.01856540084388186
overgeneralization,0.18421052631578946,0.25925925925925924,0.2153846153846154,27,0.02453748782862707
mental_filter,0.1724137931034483,0.3125,0.2222222222222222,16,0.015002344116268164
should_statements,0.6666666666666666,0.48,0.5581395348837209,25,0.0588754783632617
all_or_nothing,0.2,0.3,0.24,20,0.020253164556962022
mind_reading,0.37142857142857144,0.8125,0.5098039215686274,32,0.06883428476875982
fortune_telling,0.4418604651162791,0.76,0.5588235294117647,25,0.058947629684785306
magnification,0.2,0.15789473684210525,0.17647058823529413,19,0.014147431124348476
personalization,0.2222222222222222,0.25,0.23529411764705882,16,0.01588483494663688
labeling,0.3409090909090909,0.42857142857142855,0.379746835443038,35,0.05608075628905625
