class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.15151515151515152,0.29411764705882354,0.2,17,0.016666666666666666
overgeneralization,0.16666666666666666,0.14285714285714285,0.15384615384615385,28,0.021116138763197588
mental_filter,0.07142857142857142,0.13333333333333333,0.09302325581395349,15,0.006839945280437756
should_statements,0.15384615384615385,0.3076923076923077,0.20512820512820512,13,0.0130718954248366
all_or_nothing,0.14285714285714285,0.3076923076923077,0.1951219512195122,13,0.012434241989478718
mind_reading,0.3333333333333333,0.16129032258064516,0.21739130434782608,31,0.03303495311167945
fortune_telling,0.32,0.38095238095238093,0.34782608695652173,21,0.03580562659846547
magnification,0.13114754098360656,0.32,0.18604651162790697,25,0.022799817601459188
personalization,0.28,0.35,0.3111111111111111,20,0.030501089324618737
labeling,0.3181818181818182,0.3333333333333333,0.32558139534883723,21,0.033515731874145006
