class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.13114754098360656,0.47058823529411764,0.20512820512820512,17,0.017094017094017092
overgeneralization,0.16417910447761194,0.39285714285714285,0.23157894736842105,28,0.031785345717234265
mental_filter,0.0,0.0,0.0,15,0.0
should_statements,0.21739130434782608,0.38461538461538464,0.2777777777777778,13,0.01770152505446623
all_or_nothing,0.14285714285714285,0.15384615384615385,0.14814814814814814,13,0.009440813362381988
mind_reading,0.3548387096774194,0.3548387096774194,0.3548387096774194,31,0.053921568627450976
fortune_telling,0.4117647058823529,0.3333333333333333,0.3684210526315789,21,0.03792569659442724
magnification,0.20833333333333334,0.2,0.20408163265306123,25,0.02501000400160064
personalization,0.3333333333333333,0.05,0.08695652173913043,20,0.008525149190110827
labeling,0.2,0.7142857142857143,0.3125,21,0.03216911764705882
