class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.17391304347826086,0.47058823529411764,0.25396825396825395,17,0.021164021164021163
overgeneralization,0.225,0.32142857142857145,0.2647058823529412,28,0.03633217993079585
mental_filter,0.2,0.3333333333333333,0.25,15,0.01838235294117647
should_statements,0.17857142857142858,0.38461538461538464,0.24390243902439024,13,0.015542802486848396
all_or_nothing,0.17647058823529413,0.23076923076923078,0.2,13,0.012745098039215686
mind_reading,0.4,0.3870967741935484,0.39344262295081966,31,0.05978784956605592
fortune_telling,0.375,0.42857142857142855,0.4,21,0.041176470588235294
magnification,0.18,0.36,0.24,25,0.02941176470588235
personalization,0.25,0.15,0.1875,20,0.01838235294117647
labeling,0.37037037037037035,0.47619047619047616,0.4166666666666667,21,0.0428921568627451
