class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.16666666666666666,0.29411764705882354,0.2127659574468085,17,0.017730496453900707
overgeneralization,0.23684210526315788,0.32142857142857145,0.2727272727272727,28,0.03743315508021391
mental_filter,0.07692307692307693,0.06666666666666667,0.07142857142857142,15,0.005252100840336134
should_statements,0.16666666666666666,0.3076923076923077,0.21621621621621623,13,0.01377848436671966
all_or_nothing,0.14285714285714285,0.15384615384615385,0.14814814814814814,13,0.009440813362381988
mind_reading,0.37037037037037035,0.3225806451612903,0.3448275862068966,31,0.05240027045300879
fortune_telling,0.25,0.3333333333333333,0.2857142857142857,21,0.02941176470588235
magnification,0.1935483870967742,0.24,0.21428571428571427,25,0.02626050420168067
personalization,0.25,0.2,0.2222222222222222,20,0.021786492374727667
labeling,0.15625,0.23809523809523808,0.18867924528301888,21,0.019422863485016647
