class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.16666666666666666,0.17647058823529413,0.17142857142857143,17,0.014285714285714285
overgeneralization,0.1724137931034483,0.35714285714285715,0.23255813953488372,28,0.03191974464204286
mental_filter,0.2,0.4666666666666667,0.28,15,0.02058823529411765
should_statements,0.1111111111111111,0.23076923076923078,0.15,13,0.009558823529411764
all_or_nothing,0.2631578947368421,0.38461538461538464,0.3125,13,0.01991421568627451
mind_reading,0.2894736842105263,0.3548387096774194,0.3188405797101449,31,0.048451264563796524
fortune_telling,0.15384615384615385,0.09523809523809523,0.11764705882352941,21,0.012110726643598616
magnification,0.13432835820895522,0.36,0.1956521739130435,25,0.0239769820971867
personalization,0.15384615384615385,0.2,0.17391304347826086,20,0.017050298380221655
labeling,0.42857142857142855,0.14285714285714285,0.21428571428571427,21,0.022058823529411763
