class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.19402985074626866,0.7647058823529411,0.30952380952380953,17,0.025793650793650792
overgeneralization,0.16393442622950818,0.35714285714285715,0.2247191011235955,28,0.03084379819343468
mental_filter,0.2,0.26666666666666666,0.22857142857142856,15,0.01680672268907563
should_statements,0.038461538461538464,0.07692307692307693,0.05128205128205128,13,0.00326797385620915
all_or_nothing,0.07692307692307693,0.07692307692307693,0.07692307692307693,13,0.004901960784313725
mind_reading,0.3125,0.16129032258064516,0.2127659574468085,31,0.03233208176887776
fortune_telling,0.15625,0.23809523809523808,0.18867924528301888,21,0.019422863485016647
magnification,0.16666666666666666,0.32,0.2191780821917808,25,0.02686005909213
personalization,0.125,0.2,0.15384615384615385,20,0.015082956259426848
labeling,0.3333333333333333,0.047619047619047616,0.08333333333333333,21,0.008578431372549019
