class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7407407407407407,0.43478260869565216,0.547945205479452,92,0.199252801992528
emotional_reasoning,0.10714285714285714,0.25,0.15,12,0.007114624505928853
overgeneralization,0.1724137931034483,0.19230769230769232,0.18181818181818182,26,0.018684872439813153
mental_filter,0.3125,0.38461538461538464,0.3448275862068966,13,0.017718413520512472
should_statements,0.17391304347826086,0.36363636363636365,0.23529411764705882,11,0.010230179028132991
all_or_nothing,0.125,0.09090909090909091,0.10526315789473684,11,0.004576659038901602
mind_reading,0.3333333333333333,0.42857142857142855,0.375,28,0.04150197628458498
fortune_telling,0.09523809523809523,0.15384615384615385,0.11764705882352941,13,0.006045105789351314
magnification,0.1875,0.16666666666666666,0.17647058823529413,18,0.012555219716345038
personalization,0.14285714285714285,0.07692307692307693,0.1,13,0.005138339920948617
labeling,0.3333333333333333,0.3125,0.3225806451612903,16,0.020400357006247608
