class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2903225806451613,0.5625,0.3829787234042553,16,0.023936170212765957
overgeneralization,0.4,0.34782608695652173,0.37209302325581395,23,0.03343023255813953
mental_filter,0.45454545454545453,0.35714285714285715,0.4,14,0.021875000000000002
should_statements,0.0,0.0,0.0,3,0.0
all_or_nothing,0.25,0.6666666666666666,0.36363636363636365,3,0.004261363636363636
mind_reading,0.7428571428571429,0.7647058823529411,0.7536231884057971,68,0.20018115942028986
fortune_telling,0.8181818181818182,0.4864864864864865,0.6101694915254238,37,0.0881885593220339
magnification,0.7540983606557377,0.7419354838709677,0.7479674796747967,62,0.18114837398373984
personalization,0.6,0.17647058823529413,0.2727272727272727,17,0.018110795454545452
labeling,0.2,0.23076923076923078,0.21428571428571427,13,0.010881696428571428
