class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.24242424242424243,0.47058823529411764,0.32,17,0.026666666666666665
overgeneralization,0.15384615384615385,0.14285714285714285,0.14814814814814814,28,0.020334059549745823
mental_filter,0.18421052631578946,0.4666666666666667,0.2641509433962264,15,0.019422863485016647
should_statements,0.21875,0.5384615384615384,0.3111111111111111,13,0.019825708061002176
all_or_nothing,0.15384615384615385,0.15384615384615385,0.15384615384615385,13,0.00980392156862745
mind_reading,0.288135593220339,0.5483870967741935,0.37777777777777777,31,0.0574074074074074
fortune_telling,0.25,0.3333333333333333,0.2857142857142857,21,0.02941176470588235
magnification,0.16,0.32,0.21333333333333335,25,0.026143790849673203
personalization,0.3333333333333333,0.35,0.34146341463414637,20,0.03347680535628886
labeling,0.35,0.3333333333333333,0.34146341463414637,21,0.0351506456241033
