class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.36,0.4090909090909091,0.3829787234042553,22,0.03555076757339079
overgeneralization,0.14285714285714285,0.18518518518518517,0.16129032258064516,27,0.01837484687627603
mental_filter,0.2,0.4375,0.27450980392156865,16,0.01853230743774303
should_statements,0.5,0.52,0.5098039215686274,25,0.053776784975593614
all_or_nothing,0.21739130434782608,0.25,0.23255813953488372,20,0.019625159454420567
mind_reading,0.19607843137254902,0.3125,0.24096385542168675,32,0.032535204107569514
fortune_telling,0.5357142857142857,0.6,0.5660377358490566,25,0.05970862192500597
magnification,0.12,0.15789473684210525,0.13636363636363635,19,0.01093210586881473
personalization,0.0,0.0,0.0,16,0.0
labeling,0.2127659574468085,0.5714285714285714,0.31007751937984496,35,0.04579203872698132
