class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.45454545454545453,0.21739130434782608,0.29411764705882354,23,0.028304208712773813
overgeneralization,0.1891891891891892,0.2692307692307692,0.2222222222222222,26,0.024174802417480244
mental_filter,0.5555555555555556,0.23809523809523808,0.3333333333333333,21,0.02928870292887029
should_statements,0.3333333333333333,0.6086956521739131,0.4307692307692308,23,0.04145477953009334
all_or_nothing,0.058823529411764705,0.2727272727272727,0.0967741935483871,11,0.004454042380888109
mind_reading,0.2978723404255319,0.42424242424242425,0.35,33,0.04832635983263598
fortune_telling,0.4583333333333333,0.44,0.4489795918367347,25,0.046964392451541284
magnification,0.18181818181818182,0.15384615384615385,0.16666666666666666,26,0.01813110181311018
personalization,0.2571428571428571,0.47368421052631576,0.3333333333333333,19,0.026499302649930265
labeling,0.358974358974359,0.4375,0.39436619718309857,32,0.05280216866049855
