class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.14285714285714285,0.29411764705882354,0.19230769230769232,17,0.016025641025641024
overgeneralization,0.20588235294117646,0.25,0.22580645161290322,28,0.03099304237824162
mental_filter,0.0,0.0,0.0,15,0.0
should_statements,0.14705882352941177,0.38461538461538464,0.2127659574468085,13,0.013558614935335835
all_or_nothing,0.16666666666666666,0.07692307692307693,0.10526315789473684,13,0.006707946336429307
mind_reading,0.29411764705882354,0.4838709677419355,0.36585365853658536,31,0.055595408895265416
fortune_telling,0.2727272727272727,0.2857142857142857,0.27906976744186046,21,0.028727770177838577
magnification,0.15,0.12,0.13333333333333333,25,0.01633986928104575
personalization,0.3,0.15,0.2,20,0.0196078431372549
labeling,0.19230769230769232,0.23809523809523808,0.2127659574468085,21,0.02190237797246558
