class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.21428571428571427,0.17647058823529413,0.1935483870967742,17,0.016129032258064516
overgeneralization,0.1568627450980392,0.2857142857142857,0.20253164556962025,28,0.027798461156614548
mental_filter,0.11904761904761904,0.3333333333333333,0.17543859649122806,15,0.012899896800825593
should_statements,0.15789473684210525,0.23076923076923078,0.1875,13,0.011948529411764705
all_or_nothing,0.17647058823529413,0.23076923076923078,0.2,13,0.012745098039215686
mind_reading,0.20408163265306123,0.3225806451612903,0.25,31,0.03799019607843137
fortune_telling,0.16666666666666666,0.19047619047619047,0.17777777777777778,21,0.018300653594771243
magnification,0.21428571428571427,0.36,0.26865671641791045,25,0.03292361720807726
personalization,0.12,0.15,0.13333333333333333,20,0.013071895424836602
labeling,0.15384615384615385,0.09523809523809523,0.11764705882352941,21,0.012110726643598616
