Patient Question,y_bin,y_mc,ml_emotional_reasoning,ml_overgeneralization,ml_mental_filter,ml_should_statements,ml_all_or_nothing,ml_mind_reading,ml_fortune_telling,ml_magnification,ml_personalization,ml_labeling
"When I was a kid, a friend and I would pretend to be super heroes and play around. Since then this behavior has stuck with me, and I constantly find myself pretending to be someone else– usually someone made up. I always do this alone, and have full conversations and relationships in my head. In real life I have no friends. I started being homeschooled at the end of 10th grade, because the school in my area was terrible. I’m extremely social online, just not in real life. Most days I stay in the house, along with what I described. I’ve always wondered if doing this means there’s something wrong with me. I often rationalize it as an escape from my life, but I can only use that excuse so much without knowing if it is just that– an excuse. Any advice would be appreciated.",1,2,0,1,0,0,0,0,0,0,0,0
"Over the last couple of years I slowly started to realize that I’m not normal in the way I feel emotions. I don’t ever remember being hyper-emotional, but when I was young I still FELT, I remember crying, having crushes, etc. In the past 4-5 years, however, I’ve been having a hard time feeling anything at all. The only emotions I can seem to feel are irritation bordering on anger, slight depression, and uneasiness, outside of these emotions, I can’t feel anything. To make matters worse, I’ve completely lost the ability to empathize with others, or rather, I can’t remember the last time I’ve felt empathy towards anyone. I noticed my issue upon a death within the family, throughout the entire process I didn’t feel anything, at points I even tried to force myself to feel as I thought I would be a horrible for not doing so.",1,3,0,0,1,0,0,0,0,0,0,0
"I have been dating this guy for 10 months and to be honest although it has been rocky(he was drunk and cheated on me once in the summer, one night he was too drunk and ended up sleepwalking in my apartment and saying things that were very hurtful), normally he is one of the nicest people I have ever known. He has also had down periods where he wasn’t sure he liked his job and was a little depressed. Through it all I forgave him and tried to help him through all of it.",1,8,0,0,0,0,0,0,0,1,0,0
"My mother and father treat me quite differently. My father treats me pretty nicely, though he expresses doubts about my mother’s way of treating me. She definitely favors my sister, and even worse, doesn’t like to admit it either, even though it is plain as day. As for me, I’ve gotten used to that over the years, however, recently, I’ve started getting empty feelings and like there is no happiness in the world. Laughing is a foreign concept. Another thing is that my mother loves lecturing me about how naïve I am and how I cannot possibly understand the real world. However, she appears not to see me literally wilting in front of her implied insults that she hurls at me without remorse. And, when I think about talking to her about how I might feel, it never seems to turn out right. Then there are also other consequences because of these feelings. First off, I tend to binge on junk food, then, afterwards, feel really bad about it and my self-esteem will drop. Also, I lash out at the people who actually love me, leaving them confused. Help me! :(",1,6,0,0,0,0,0,1,0,0,0,0
"""Just another day, another humiliation - I'm starting to think that's all high school is good for.""",1,2,0,1,0,0,0,0,0,0,0,0
"Hello. When I was little, my dad used to pin me on the bed to pull my underwear down and bite my bum until it bruised, all the while I kicked and screamed. I wasn’t able to sit down at times afterward. I also have brief flashbacks to when I was left home alone with him. He would call out my name in a high-pitched voice to sound like my mum, and he would get me to go in the bathroom. From where our toilet was positioned, I could see him fully. He would laugh when I went in and turn to me (still exposed). The flashback ends there, but I get this sick feeling about it. I don’t remember leaving the bathroom, and I remember him doing this more than once. I also remember someone opening my bedroom door, and I would pretend to be asleep. That’s as far as that memory goes. A lot of the time at night I would listen through the wall, but I don’t know why.",1,1,1,0,0,0,0,0,0,0,0,0
"For one year I have been experiencing very intense emotions and sadly also had difficulties regulating concealing I am very scared of other people.I’ve always been a different girl. However recently my perception has changed, and I don’t see point of my life now I don’t care about people I am lonely I still scared of abandonment, however now I just go to school come to home I can’t be myself in the school I play the asocial, and despicable and isolated girl. I really hate this-but I do not have choices other than this. But am very bored living like this. I had a chronic feeling of emptiness it seems it will never go. I am very impulsive sometimes I found myself buying a very expensive dress. Now life seems very purposeless I was loving my teacher but now he is not my teacher anymore that’t why I closed myself to the other boys but I also closed myself to the girls. I really need to talk to someone but I fear that they will despise me what is my problem Why do I behaving like a fool? (From London)",1,6,0,0,0,0,0,1,0,0,0,1
"Four months ago I was diagnosed with depression by my family’s doctor. I started taking antidepressants but I they were making me feel woozy and restless so I asked to stop taking them and just continuing with regular visits to a psichologist to see how I was holding up. The thing is my family, especially my mom is always criticizing my life and my choices… I never really cared before but now it’s really starting to affect me. I’m really scared to what I might do if my family keeps this non-supportive attitude… My psichologist says that if they are hurting me I should stop spending time with them… But we are still family… I can’t just cut the connection… Is there any way I can make my family understand what I’m going through? Because every time I try to explain to my mom that she’s hurting me, she just keeps telling me that I’m too soft and need to toughen up if I want to make it in this world…",1,7,0,0,0,0,0,0,1,0,0,0
"When I was younger, I was only 12 and a half years old. I did something terrible to my younger sister, who was 5 years old during that time. I asked her if she wanted to do sexual activities. I also did not approach her by asking her in that way. When I was a really young child, I use to get in trouble by my parents from touching myself. Where that was when my parents used this word to describe my action in a different language. Therefore, that was how I approached my sister on asking her. I have posted in other forums on different websites like Yahoo and PsychForum. They stated that it was a form of molestation or sexual assault. I did ask her for consent. However, thinking about it now, I don’t think it counts — she was only 5 years old. I really do think it was a form of molestation. I really want to get help for my sister but I don’t know how to approach my parents nor family doctor. The event lasted for 3 or 4 days and I’m afraid of what might happen. I’m 18 now and I’ve never stopped thinking about it, I’ve actually been crying every now and then about it. I did approach to my sister after a few years when she was 9 or 10 about it and apologized to her. I feel like I’m out of options and I’m worried about my younger sister of what she’ll think of the situation in the future. I don’t know why I committed those actions of mine, but I believe bullying and watching inappropriate videos played a role. I recall being constantly bullied at school and tried to fit in the crowd. I don’t want to blame on anyone or my surroundings for the incident. I’m too scared and worried on approaching my parents and the family doctor about the situation :( (From the USA)",1,6,0,0,0,0,0,1,0,0,1,0
"From a teen in the U.S.: For my whole life, I have always been extremely shy and suffered with social interaction. I barely have any friends period( only a few which I rarely see- I don’t know if I should even consider them friends). I do everything alone – from going to school to sitting in the cafeteria, to spending my weekends.",1,2,0,1,0,0,0,0,0,0,0,0
