class,precision,recall,f1,support,weighted_contribution
no_distortion,0.5517241379310345,0.5217391304347826,0.5363128491620112,92,0.19502285424073135
emotional_reasoning,0.11764705882352941,0.16666666666666666,0.13793103448275862,12,0.006542183453727681
overgeneralization,0.14285714285714285,0.038461538461538464,0.06060606060606061,26,0.006228290813271051
mental_filter,0.2,0.3076923076923077,0.24242424242424243,13,0.012456581626542102
should_statements,0.08108108108108109,0.2727272727272727,0.125,11,0.005434782608695652
all_or_nothing,0.0,0.0,0.0,11,0.0
mind_reading,0.1875,0.21428571428571427,0.2,28,0.022134387351778657
fortune_telling,0.09090909090909091,0.15384615384615385,0.11428571428571428,13,0.0058723884810841336
magnification,0.0625,0.05555555555555555,0.058823529411764705,18,0.0041850732387816785
personalization,0.1,0.07692307692307693,0.08695652173913043,13,0.004468121670390101
labeling,0.25,0.0625,0.1,16,0.006324110671936759
