class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.16129032258064516,0.29411764705882354,0.20833333333333334,17,0.017361111111111112
overgeneralization,0.20930232558139536,0.32142857142857145,0.2535211267605634,28,0.034797017398508705
mental_filter,0.1,0.06666666666666667,0.08,15,0.0058823529411764705
should_statements,0.19230769230769232,0.38461538461538464,0.2564102564102564,13,0.01633986928104575
all_or_nothing,0.6666666666666666,0.15384615384615385,0.25,13,0.015931372549019607
mind_reading,0.2916666666666667,0.45161290322580644,0.35443037974683544,31,0.05385951849094068
fortune_telling,0.36,0.42857142857142855,0.391304347826087,21,0.04028132992327366
magnification,0.11688311688311688,0.36,0.17647058823529413,25,0.021626297577854673
personalization,0.3076923076923077,0.2,0.24242424242424243,20,0.023767082590612002
labeling,0.3076923076923077,0.38095238095238093,0.3404255319148936,21,0.03504380475594493
