class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.2857142857142857,0.5454545454545454,0.375,22,0.034810126582278486
overgeneralization,0.15,0.1111111111111111,0.1276595744680851,27,0.014543495825478049
mental_filter,0.15384615384615385,0.25,0.19047619047619047,16,0.012859152099658428
should_statements,0.6,0.48,0.5333333333333333,25,0.05625879043600562
all_or_nothing,0.15151515151515152,0.25,0.18867924528301888,20,0.015922299180001594
mind_reading,0.18518518518518517,0.3125,0.23255813953488372,32,0.0314002551270729
fortune_telling,0.6086956521739131,0.56,0.5833333333333334,25,0.061533052039381156
magnification,0.25,0.15789473684210525,0.1935483870967742,19,0.01551653736218865
personalization,0.375,0.1875,0.25,16,0.016877637130801686
labeling,0.15384615384615385,0.45714285714285713,0.2302158273381295,35,0.033998117961327144
