class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.16666666666666666,0.4117647058823529,0.23728813559322035,17,0.019774011299435026
overgeneralization,0.20512820512820512,0.2857142857142857,0.23880597014925373,28,0.03277729002048581
mental_filter,0.09302325581395349,0.26666666666666666,0.13793103448275862,15,0.010141987829614604
should_statements,0.16666666666666666,0.15384615384615385,0.16,13,0.010196078431372548
all_or_nothing,0.08,0.15384615384615385,0.10526315789473684,13,0.006707946336429307
mind_reading,0.4230769230769231,0.3548387096774194,0.38596491228070173,31,0.05865153078775369
fortune_telling,0.2608695652173913,0.2857142857142857,0.2727272727272727,21,0.028074866310160426
magnification,0.1794871794871795,0.28,0.21875,25,0.026807598039215685
personalization,0.1875,0.15,0.16666666666666666,20,0.01633986928104575
labeling,0.0,0.0,0.0,21,0.0
