Id_Number,Patient Question,original_dominant,original_secondary,bucket,self_confidence,entropy,model_predicted_primary,model_predicted_primary_prob,model_predicted_secondary,model_predicted_secondary_prob,cleanlab_quality,corrected_primary,corrected_secondary,reviewer,review_notes
4521,"I have always suffered from performance anxiety, social anxiety, and a certain degree of manic-depression. However I am very smart/talented and was very successful in high-school and attended a top university. I was very unhappy there and almost dropped out despite good grades. I was briefly treated for anxiety caused by a prescription drug and this treatment made me happy, outgoing and popular, but also manic and sexually dysfunctional. During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business. However once off the treatment my anxiety/depression returned and the business did not develop too much. Eventually it failed and it became just me working for one of our clients. This spanned 15 years since college and overall it provided a pretty good income in a low-stress environment although I had to work from home and it was very lonely.",Fortune-telling,,A,0.042,0.338,overgeneralization,0.311,,0.193,0.177,,,,
1992,"My 13 year old son has been before diagnosed with GAD, but recently he has been very depressed for most of the time, and only ever showing signs of happiness when he has food or toys. He spends most of his time alone, but his grades are fine. He never really wants to leave the house, and he never wants to socialize with his friends anymore. 2 years ago he switched to a private school for middle school, and we thought smaller classes would be better for him participating, but he is now detached from all his friends. Also, he gets very angry for no reason at me or my husband or people that have not directly done anything to harm him. He can get angry from the slightest thing. He seems to have trouble sleeping, and he says it is from thinking of something really said or worrying, and he cannot stop thinking about it. Girls do not hang out with him, but with many of the richer more popular boys, they like. He used to love doing a lot of things that he does not find enjoyment in anymore, and he doesn’t play sports. Many of the other kids make fun of him for being a nerd. He is mainly alone at school, and he stays away from the only people that he is friendly with because they can be fun when he is happy, but if he is sad, or angry, they drive him crazy. What can I do to help him?",Mental filter,Labeling,A,0.044,0.341,mind_reading,0.388,,0.225,0.083,,,,
2316,"My Dad and I usually get on quite well. We have a lot in common, but whenever he cooks or cleans he doesn’t do the job properly. For instance, he won’t wash his hands before cooking or clean the sides down properly. I’m generally not that bothered by germs but everyone knows the basics of hygiene in the kitchen. I try to tell him that he should wash his hands, but he just get annoyed, and makes some excuse like he’s ‘thinking about other things’. 9 times out of 10 he doesn’t do the washing up properly either eg. there will still be oil on the frying pan. So when I try to do it or I tell him that it’s unclean he just gets irritated and says “your being rather annoying now” when I’m just trying to makes sure my sister and I get a healthy meal in a clean kitchen. My mum usually makes sure that the kitchen and everything else is clean but she’s away seeing her parents because my grandma’s going into surgery soon. Now my dad’s left with us he just seems incapable of doing even basic chores. I can’t keep pestering him but he doesn’t learn. It could be that he listens to my mum or that she does it usually and dad hasn’t had to do the washing up more than once every few days. I think it’s a bit of both.",Mental filter,,A,0.044,0.368,mind_reading,0.504,,0.247,0.146,,,,
124,"Hey, I’ve been really struggling because I’ve been thinking about this problem a lot. So a quick background story. I am the oldest in 5 kids and my parents were married for over 15 years. I also come from a middle eastern background and a very strict religious family. So I’m not sure if anyone is going to understand how hard it is to say anything to anyone. So my dad was sick since 2011 he had a stroke that made him paralyzed on his whole left side. I was around 9 years old when he started being sick. My mom would always take care of him and stay by his side or at least that’s what I thought. But when I was 11, I started seeing my mom talk to different guy on the phone and always flirting with him. I was young and I told her mom are you talking to anyone else. But she denied it and then changed the password for her phone so I wouldn’t look at anything. I ignored it for about a year or so, now around this time, my dad was getting better and the relationship between them was great, there weren’t any problems and we almost never saw them fighting, but I still heard her talking to that guy and saw her many times meet with him when my dad wasn’t home and she always thought I didn’t know and I forgot about it. Time passed and I always ignored, I never told anything to any of my other siblings or faced her with it again. Time passed and my dad got sick again, and she was still talking to that guy in addition to 2 other guys that I knew about and they looked a lot younger than her. I would always find a way to know her password and open her chats to see all the flirty messages between her and the other guys. I always cried by myself and kept it in me since then. Speed up to two years ago, I was 14 at that time, my dad got another stroke and was really sick, he passed away. My mom continued to talk to one of the guys and I don’t know what happened to the other two. I regret not telling my dad anything. And if anyone of my uncles knows about her texts and the pictures she sends to that guy, they will kill her because it is against our religion and our culture and they are very strict. I always cry and I still look thru her phone and see all the disgusting things she says and sends to that guy. I don’t know if I should tell anyone or keep it a secret still. Oh, I forgot to mention that the guy she’s still talking is also married and has kids.(From the USA)",Mental filter,Fortune-telling,A,0.049,0.407,mind_reading,0.566,,0.205,0.088,,,,
0,"From a teen in Australia: This story is incredibly long but I’m going to do my best to cut it down and only include the most important bits. When I was 14 and in a very low place, I met a teacher at my school. She was around 30. I didn’t think much of it at first, but eventually I kept talking to her more and more and seeing her around. We grew close quickly and for some reason I just felt connected to her. One day I received a text message from her as she had gotten my number off another student.",Emotional Reasoning,,A,0.054,0.331,overgeneralization,0.235,,0.16,0.2,,,,
286,"From a teen in the U.S.: I feel like my fiance and I are having issues sexually because our sexual relationship is unbalanced. I will often touch her and go down on her, but she will not do the same for me. She never seems as though she is particularly interested in sex. She used to be more involved in our sex life but she no longer is.",Emotional Reasoning,,A,0.054,0.343,overgeneralization,0.314,,0.193,0.185,,,,
355,"My mom and I are always fighting. She is constantly telling me how to live my life and that any choices I make are wrong. She always constantly puts down my husband and says the nastiest, most vile things about him and I. I try to talk to her about it but it always ends with her and I yelling at each other and her telling me that I am being disrespectful to her.",Mental filter,,A,0.055,0.351,mind_reading,0.306,,0.225,0.186,,,,
2045,I’ve been with the current bf for 2 years. He started not paying attention to me & neglecting me. We don’t live together. 2 months ago I started texting & chatting with my ex in a non flirtatious way because I needed someone to talk to that knows me & my life situations. My current bf went out of town & kept blatantly choosing things other than me that were hurtful. Ex invited me to a xmas party so I told him I’d go as friends. I got too drunk & the ex fingered me. I didn’t even kiss him. I stopped him before things went to far & had him get me an uber ride home.,Mental filter,Mind Reading,A,0.056,0.335,mind_reading,0.238,,0.215,0.115,,,,
4671,"Last year my husband said he knew this girl who needed our help. She had what appeared to be an abusive boyfriend. My husband wanted to help this girl, and I agreed- why not help a person who needs some support. However, soon I became excluded from the help. That is,my husband was the main one interacting with her. He would send emails, meet, exchanged gifts- I was NEVER allowed to be apart of this. My husband was acting like he was having an affair. He was lying to me. He was buying secret phones to call this “girl”. He insulted me,said things to me that one would not even say to their worst enemy. Once he had to go to the hospital. He gave me instructions for taking care of his mother, brother, daughter,and this girl- no parting words for me. The painful examples can go on and on.",Emotional Reasoning,,A,0.057,0.346,mind_reading,0.295,,0.218,0.19,,,,
1930,"From Hawaii: I am in a solid relationship with a man who is quite a bit older than me. We have been together nearly two years but I have known him for 3. He has, of course, been in many other relationships and was even married for a short period a long time ago.",Mental filter,,A,0.057,0.315,overgeneralization,0.254,,0.159,0.199,,,,
1183,"Since I was younger, my mother always got caught being on a call with other men, even before she and my dad got divorced about 5 years ago. Now she’s the only one who pays our bills, being the single mother. After she got divorced with her second husband, she started to become the old her, receiving calls from married men, having a date with them. Maybe because of her, I’ve always being skeptical about marriage, thinking if all men will cheat–there will be no point of being married.",Overgeneralization,Fortune-telling,A,0.058,0.419,overgeneralization,0.313,,0.259,0.127,,,,
1532,Hi! I am a 17 year old male and recently I was in a very dark place. I want to be in the military and/or a police officer when I meet the age requirement.I can not speak to a professional because a diagnosis would almost certanly end my prospect of being these things.,Fortune-telling,,A,0.058,0.316,overgeneralization,0.232,,0.144,0.204,,,,
2084,"Six months ago I went on a camp with some friends. I slept with one of my best friends which was in a long-lasting relationship. We both enjoyed it and wanted to continue with that. We both knew it was a bad and immoral thing, but the pleasure was above all the morality. But I started to fall madly in love with him. Every time I saw him, touched him, kissed him I was feeling so good and appreciated. Nobody ever has given me a feeling like that. And we did not have a single quarrel in all this time. Everything was perfect except the fact that he was cheating on his girlfriend with me and our relationship was a secret. But he started to feel guilty about this relationship about a month ago and wanted to break up with me. I could not stand such a thing and I asked him to give me another chance to make him forget his girlfriend. It did not work out. He is trying to convince me that he is not the right person for me and he is in love with his girlfriend, although he tells me “I love you” every day. I am trying to be the perfect girlfriend for him and do anything he asks, but he still loves the other one more. What can I do to have him? Or should I forget him? I can’t forget him because I love him so much. He is my first true love. I can’t let this behind. (age 20, from Romania)",Mental filter,,A,0.059,0.418,mind_reading,0.484,,0.221,0.162,,,,
4557,"I am curious about the amnesia part of DID. I seem to have different people who live inside me. Unlike what I know about DID, though, we all know about each other. We don’t always but occasionally we do talk to each other. I might comfort the child that is sad or the watchful one might tell me their impression of someone. We don’t forget what’s going on when one of the others is controlling the body. For instance, when I feel threatened or insulted a stronger person will stand in. I don’t disappear or anything I just seem to switch awareness into someone that has a different way of thinking, feeling, and behaving.",Emotional Reasoning,,A,0.06,0.34,overgeneralization,0.317,,0.186,0.19,,,,
331,"From Australia: My 58 yr old sister and her 33 yr old son have a toxic co-dependent relationship. Both are mentally ill alcoholics, can’t maintain a home, have experienced homelessness three times and my nephew is physically violent. They’ve had all the help and support in the world but they simply cannot function and it is just a matter of time before the next eviction.",Fortune-telling,,A,0.061,0.318,overgeneralization,0.248,,0.184,0.202,,,,
2564,"From the U.S.: My brother is 19 years old and is currently living with me and my parents, he was in college but soon left due to his view of our financial issue. He claims he’s severely depressed and has outbursts a couple days per week, sometimes more. During these outbursts he rants about his mental condition, attacks my and my families insecurities and lifestyles, and even sometimes becomes violent over them. He even threatens suicide on more serious outbursts.",Mental filter,Mind Reading,A,0.061,0.32,overgeneralization,0.249,,0.205,0.113,,,,
1073,"From the U.S.: Sometime before I was five, my dad left my mom and my mom passed me off on my grandparents. Since I was a child, my grandpa always screamed at me, beat me and told me how I’d always be a loser, a nobody, a ditch digger in prison and a druggie like my dad. I still see his face yelling those things to me till this day.",Mental filter,,A,0.062,0.342,overgeneralization,0.288,,0.195,0.196,,,,
2156,"From the Netherlands: I am 27 and I feel very inappropriate about what happened between me and my brother when we were kids (I was about 13/14 years old and my brother 11/12). Basically he tricked me into ‘teaching’ him how to handle things with a girl, like kissing and touching. He told me as an older sister I should safe him from disasters with girls by letting him touch and kiss me so he wouldn’t look like a fool when he tried it.",Should statements,,A,0.062,0.321,mind_reading,0.282,,0.216,0.197,,,,
